wallet,type,amount,usd_value,from,to,timestamp,date,signature,token_address,token_symbol
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,3000000.0,3000000.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-05 13:22:41,2025-08-05,4bKhZa9uTvi45UFjKb95P1fqan4EU79Ytf8qZzT4KwJcFwq9UPt9uJcEghFUVX6FD5LH5a5BrEB1XThNA1ga1jms,DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,TOKEN-DitHyRMQ...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,2979023.0,2979023.0,5D4aidAeZhx2g7UK5TLBu3XJM33PeLCSPP7qnbfFs3fC,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-07-31 14:24:27,2025-07-31,4LdJfGpffhW568XSENSjgTUYcdFmDkQMXSQCvrqDERPc7iSwrAfqABH5TS9iK4ADSrWs96LDfiWKXAijs8abXn3D,HpzUntkU5Ek9ZNB6UtgXfYicgqyroJJoxtJdTFmJTjfC,TOKEN-HpzUntkU...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,2814999.0,2814999.0,5D4aidAeZhx2g7UK5TLBu3XJM33PeLCSPP7qnbfFs3fC,8NBEbxLknGv5aRYefFrW2qFXoDZyi9fSHJNiJRvEcMBE,2025-07-31 14:24:27,2025-07-31,4LdJfGpffhW568XSENSjgTUYcdFmDkQMXSQCvrqDERPc7iSwrAfqABH5TS9iK4ADSrWs96LDfiWKXAijs8abXn3D,HpzUntkU5Ek9ZNB6UtgXfYicgqyroJJoxtJdTFmJTjfC,TOKEN-HpzUntkU...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,2770900.0,2770900.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-01 14:29:30,2025-08-01,2MCEbSK1x7LHs53tVLCG3DQ9eL6gYyL7VDZh4yqMCFc8Xr82QDiASyqGwbdKitfLNdJSvvEez4gERUGdeYzeM23Y,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,TOKEN-Dz9mQ9Nz...
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,TOKEN,2720709.44,2720709.44,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,CKBCxNxdsfZwTwKYHQmBs7J8zpPjCjMJAxcxoBUwExw6,2025-08-06 03:57:13,2025-08-06,4fGrnMbfR4efYNGrLepHYY9zNRhVyQYgm1wbgbmWUDnJ39wXQSjBAKGyz6FiECy4LeQ62da9PwAnpeKhQ2jNEK1m,4QQV4LQUUXAn1eN1XQGrfY65TfLe5STJcfsCQozqyb8T,TOKEN-4QQV4LQU...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,2700624.0,2700624.0,5D4aidAeZhx2g7UK5TLBu3XJM33PeLCSPP7qnbfFs3fC,9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,2025-07-31 14:24:27,2025-07-31,4LdJfGpffhW568XSENSjgTUYcdFmDkQMXSQCvrqDERPc7iSwrAfqABH5TS9iK4ADSrWs96LDfiWKXAijs8abXn3D,HpzUntkU5Ek9ZNB6UtgXfYicgqyroJJoxtJdTFmJTjfC,TOKEN-HpzUntkU...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,2311074.0,2311074.0,5D4aidAeZhx2g7UK5TLBu3XJM33PeLCSPP7qnbfFs3fC,6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,2025-07-31 14:24:27,2025-07-31,4LdJfGpffhW568XSENSjgTUYcdFmDkQMXSQCvrqDERPc7iSwrAfqABH5TS9iK4ADSrWs96LDfiWKXAijs8abXn3D,HpzUntkU5Ek9ZNB6UtgXfYicgqyroJJoxtJdTFmJTjfC,TOKEN-HpzUntkU...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,2114028.0,2114028.0,5D4aidAeZhx2g7UK5TLBu3XJM33PeLCSPP7qnbfFs3fC,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,2025-07-31 14:24:27,2025-07-31,4LdJfGpffhW568XSENSjgTUYcdFmDkQMXSQCvrqDERPc7iSwrAfqABH5TS9iK4ADSrWs96LDfiWKXAijs8abXn3D,HpzUntkU5Ek9ZNB6UtgXfYicgqyroJJoxtJdTFmJTjfC,TOKEN-HpzUntkU...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,2080862.0,2080862.0,xv4t5VqVGaH8YfHt4XZDRGKuNMiFpRRAzBHtChuxSiL,9YCGpG18ZkAsyVsSCMXcUH7UET2rHuJDNesry1gyXZbc,2025-08-04 17:19:24,2025-08-04,nifUSfRVqmBBj7oK67NMJyEKtJb6LsUht1w7xiz5wx2X3Rzs2TDoDrC1Xt2fXnegc21d4ZfKy2j9n6qyMeTPFq8,7cjG5MfGajAxaqr3JFQM5pdBTYibhLP4WGt8RN9ipump,TOKEN-7cjG5MfG...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,2078780.0,2078780.0,5D4aidAeZhx2g7UK5TLBu3XJM33PeLCSPP7qnbfFs3fC,HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,2025-07-31 14:24:27,2025-07-31,4LdJfGpffhW568XSENSjgTUYcdFmDkQMXSQCvrqDERPc7iSwrAfqABH5TS9iK4ADSrWs96LDfiWKXAijs8abXn3D,HpzUntkU5Ek9ZNB6UtgXfYicgqyroJJoxtJdTFmJTjfC,TOKEN-HpzUntkU...
